session_name,question,response
"Day 2, afternoon",worked well for,Very excellent instructor
"Day 2, afternoon",worked well for,code along as usual
"Day 2, afternoon",worked well for,good flow
"Day 2, afternoon",worked well for,good with a lot of functions
"Day 2, afternoon",worked well for,i liked the introduction to targets; seems like a very useful package.
"Day 2, afternoon",worked well for,many new and potentially useful things - like the options to specify model and transform variables for this one specific model
"Day 2, afternoon",worked well for,nice tempo
"Day 2, afternoon",worked well for,"very smooth, clearly moderated"
"Day 2, morning",could be improved for,"Difficult to understand target, but I guess that is just how it is. Maybe you could try to make it more clear why targets is useful. You could try to show the ""final result"" or were we will end up earlier on."
"Day 2, morning",could be improved for,Explain a bit earlier what the purpose of targets are and when you would use it
"Day 2, morning",could be improved for,I would like see an example for how to add exporting files or figures to a corresponding folder and adding this steps to our framework in targets.
"Day 2, morning",could be improved for,I would love to be able to setup my own foundation for my own data projekt on the side or to make the necessary code to do it. I have tried and as a lot is in the r3 package it is a little difficult to start yourself
"Day 2, morning",could be improved for,"I'm not quite sure if i get ""targets"" in generel. Maybe, you could start the session with zzooming out and explain it: ""if this was a project, this target thing could help me by xxxxxx"""
"Day 2, morning",could be improved for,"In general I miss a greater picture / overview how this is to be implemented in our daily work and what purpose (as an overview) of the specific section is. I understand this can not be easy since we will build more and more as we proceed during the course, but still I miss some greater picture/overview of what we are doing in a specific course section. I hope it makes sense"
"Day 2, morning",could be improved for,"It is difficult to see the purpose, it is very much set up, and difficult to redo later on other projects"
"Day 2, morning",could be improved for,Maybe a more thorough description of the advantages compared to a script-based approach.
"Day 2, morning",could be improved for,Maybe add an example of the delete functions. The reading task did not leave me with a full understanding of how they work in practice.
"Day 2, morning",could be improved for,Maybe having more links on the documentation on how to format the quarto output documents more nicely
"Day 2, morning",could be improved for,Maybe include some more on how we can use this in our own projects?
"Day 2, morning",could be improved for,"Maybe try and explain or visualize from one of your own projects in the beginning, how this is effective in the long run."
"Day 2, morning",could be improved for,"Maybe try to explain the overall aim beforehand, e.g., by drawing the tar_visnetwork() on the board."
"Day 2, morning",could be improved for,"Not necessarily a comment on this session, but I wonder if you would ever consider to do a course on data visualization? I think it would be very interesting and useful!"
"Day 2, morning",could be improved for,Nothing
"Day 2, morning",could be improved for,"Perhaps we could have some time, where we would ourselves try to add things to either the descriptive tables, or to the figure. I know it is not a course on figures or tables, however(!), it helps you understand the structure of the target list together with the functions file. Just a bit of practice in adding things to the pipeline, on our own or in small teams, and then we could ask for help if we were completely lost :)"
"Day 2, morning",could be improved for,Quicker pace and would be nice to know how the target function actually works
"Day 2, morning",could be improved for,"Ran into some errors related to the quarto file during Day2 morning session. Nothing you can do about this, but might be good to look into it for next time :)"
"Day 2, morning",could be improved for,Saving your figure/table as a png/pdf seperately
"Day 2, morning",could be improved for,"The structure was a bit messy on day 2 morning. Anders is a good teacher/presenter, but he is wiggling/stepping from side to side and that is a bit stressful to look at."
"Day 2, morning",could be improved for,"This mostly goes for the morning session: But 1,5 hours of teaching without a small break is too long so consider adding in more small breaks."
"Day 2, morning",could be improved for,tar_visnetwork() didn't work with R version 4.4.0
"Day 2, morning",could be improved for,the pace of this could go a  bit slower
"Day 2, morning",worked well for,A nice stepwise introduction into creating the functions and then adding them to the pipeline.
"Day 2, morning",worked well for,"A very good introduction to the targets world, building it step by step."
"Day 2, morning",worked well for,Better pace this time. It was neither too slow nor too fast.
"Day 2, morning",worked well for,Code-alongs
"Day 2, morning",worked well for,Describing the overall vision with using pipelines and targets
"Day 2, morning",worked well for,Easy to follow sessions (both Day1 afternoon and Day2 morning)
"Day 2, morning",worked well for,Everything
"Day 2, morning",worked well for,Going through the codes together.
"Day 2, morning",worked well for,Having time to do the exercises on our own - to find what is it that we struggle with
"Day 2, morning",worked well for,I really appreciate the combination of code-along and trying on our own. Using targets seems a very useful tool and one I probably never would have known without this course.
"Day 2, morning",worked well for,I think you did a good job explain that many of the steps doesn't make sense at first but will later on. Using targets for the first time is a little bit confusing
"Day 2, morning",worked well for,"In general, it is really nice to code along. The speed is perfect and the explanation is good."
"Day 2, morning",worked well for,"It worked well to follow up instructions and also coding meanwhile. The text was informative enough so when I missed something from the instructor, I could go back to the course material and catch up."
"Day 2, morning",worked well for,Learned targets and automating functions
"Day 2, morning",worked well for,"More coding, less reading (and talking)"
"Day 2, morning",worked well for,Nice coding sessions
"Day 2, morning",worked well for,Nice to get a feel for the automated pipeline.
"Day 2, morning",worked well for,Nice with more code along session
"Day 2, morning",worked well for,The instructions were clear and the pace was good.
"Day 2, morning",worked well for,The pace was quite nice.
"Day 2, morning",worked well for,"There is a good workflow, and it is nice that there is a large part of code-along."
"Day 2, morning",worked well for,"This was really interesting session, almost everything worked well. Need to think about and acquire pipeline concepts, but they were amazing"
"Day 2, morning",worked well for,Very clear
"Day 2, morning",worked well for,clear instructions
"Day 2, morning",worked well for,everything but the content in particular: these targets are really fascinating stuff!
"Day 2, morning",worked well for,good instruction and help and moving forward
"Day 2, morning",worked well for,nice code along
"Day 2, morning",worked well for,the curriculum is useful and matches my level.
