session_name,question,response
"Day 3, morning",could be improved for,"not much I think, you focused more on the overview/what the goal was, which was nice"
"Day 3, morning",could be improved for,not much I'm satisfied
"Day 3, morning",could be improved for,ok
"Day 3, morning",could be improved for,shorter break
"Day 3, morning",worked well for,"Again good explanations, good with a lot of exercises."
"Day 3, morning",worked well for,Code along sessions are nice.
"Day 3, morning",worked well for,Doing the exercise all together and stopping when we get issues
"Day 3, morning",worked well for,Explaining the pivot functions was cool - they are so difficult to understand .. :) And getting some tips on renaming the columns as well. So a great skill for data management.
"Day 3, morning",worked well for,Good flow between reading and exercise
"Day 3, morning",worked well for,Great code along. Good pace.
"Day 3, morning",worked well for,Great introduction to pivots! Easy understandable
"Day 3, morning",worked well for,I got immediate help in case I had an error in m y code and could not continue.
"Day 3, morning",worked well for,I liked learning the ways to pivot data. This seems very useful for manipulating data to make plots as well as presenting summary tables.
"Day 3, morning",worked well for,It was very informative and quite great to see all those tools to summarise your data
"Day 3, morning",worked well for,"Overall, the function building worked quite well"
"Day 3, morning",worked well for,Same as the other sessions
"Day 3, morning",worked well for,Super cool to always see the output of what we are doing in the html - starting to see the bigger picture here
"Day 3, morning",worked well for,"Super nice session - more advanced, but nice to try many things and then be able to look at it later and use some of it"
"Day 3, morning",worked well for,The code along is fun!
"Day 3, morning",worked well for,The session was well balanced and very helpful
"Day 3, morning",worked well for,The ways of using different statistics and making a tidier dataset worked excellently
"Day 3, morning",worked well for,Useful content
"Day 3, morning",worked well for,Very nice workflow. Great tempo.
"Day 3, morning",worked well for,Worked good.
"Day 3, morning",worked well for,"Worked well, clear instructions."
"Day 3, morning",worked well for,You get to see the data transform into a more usefull dataframe
"Day 3, morning",worked well for,everything :-)
"Day 3, morning",worked well for,everything was perfect
"Day 3, morning",worked well for,exercise
"Day 3, morning",worked well for,help from staff
"Day 3, morning",worked well for,made a lot of sense
"Day 3, morning",worked well for,nice function work
"Day 3, morning",worked well for,nice step by step
"Day 3, morning",worked well for,"practical tools, everybody could follow and got help right away."
"Day 3, morning",worked well for,questions were answered nicely
"Day 3, morning",worked well for,same than in the morning Day 3
End of course,could be improved for the Networking Activities s,"At the second dinner, the group could not sit together."
End of course,could be improved for the Networking Activities s,"I think Networking activities and frequent breaks consumed much time and made it long days. If we start by 9am with one long break and one short tea break, we could have made the same within 3-3:30pm."
End of course,could be improved for the Networking Activities s,I think it was nice that the networking sessions was not too formally scheduled. That can sometimes be somewhat painful... :)
End of course,could be improved for the Networking Activities s,"I think they are perfect. The questions are not needed, but nice to start a conversation with."
End of course,could be improved for the Networking Activities s,I think they were fine. Did not need more or less
End of course,could be improved for the Networking Activities s,"I'm at the beginning of working with my data, so I don't really have that many examples to contribute"
End of course,could be improved for the Networking Activities s,"In general the ""introduce your self"" session at our tables - and/or as the first part of networking sessions."
End of course,could be improved for the Networking Activities s,"Maybe a 10 min. presentation of all participants to know research area, name, etc."
End of course,could be improved for the Networking Activities s,Maybe some other questions that are a bit broader?
End of course,could be improved for the Networking Activities s,Maybe something more physically active rather than just a discussion of the coding sessions. Could be combined with the lunch break too shorten the amount of break time.
End of course,could be improved for the Networking Activities s,Not much
End of course,could be improved for the Networking Activities s,"Nothing, it was quite good."
End of course,could be improved for the Networking Activities s,Nothing. I like the simple way of networking without pressure and games.
End of course,could be improved for the Networking Activities s,Some clearer instructions on when to start and end the networking parts. Sometimes participants of the groups got a bit lost
End of course,could be improved for the Networking Activities s,Something to make starting a conversation easier
End of course,could be improved for the Networking Activities s,The talk was more about other stuff than the questions
End of course,could be improved for the Networking Activities s,"There could be a networking activity for all, like a morning run."
End of course,could be improved for the Networking Activities s,"They were a bit too long and we had many of them. We network a lot in the evenings and during dinner/lunch, so we could have either made the networking activities shorter or skipped them entirely, so that we could finish the sessions earlier."
End of course,could be improved for the Networking Activities s,always nice to have more time for that
End of course,could be improved for the Networking Activities s,dont know
End of course,could be improved for the Networking Activities s,"maybe some more ""light"" questions as it is a good way to start discussions"
End of course,could be improved for the Networking Activities s,was all good
End of course,worked well for the Networking Activities s,"As someone who came here not knowing anyone beforehand, I appreciated that everyone was sort of forced to talk to their group or get to know new people. It was always nice having a walk after lunch."
End of course,worked well for the Networking Activities s,"Compared to the introductory course, it was really nice that we didn't have a list of topics to go through. Good with inspiration on what to use to get the conversation going, but still allowing for at ""natural"" conversation to occur."
End of course,worked well for the Networking Activities s,"Fair amount of time. That was excellent. So important to have time for some more ""loose"" networking."
End of course,worked well for the Networking Activities s,"Good to do networking - nice to get to know each other, when we are spending three days together."
End of course,worked well for the Networking Activities s,Good way to mingle.
End of course,worked well for the Networking Activities s,Good with the random group selection and quite unsorted topics to mix it around a bit.
End of course,worked well for the Networking Activities s,Great to emphasis to sit beside someone you don't know.
End of course,worked well for the Networking Activities s,"I liked a lot that random selection of seats each day; so people really can communicate with others. And walking after lunches was also fine, even if conversations sometimes were off the topics about coding"
End of course,worked well for the Networking Activities s,I liked the possibility of going a bit outside and taking some fresh air. I think the idea with the tiny papers and sitting in a different group everyday is nice.
End of course,worked well for the Networking Activities s,Is was nice to have some time to mingle - especially also mixing up the group but then making sure to get some time to talk
End of course,worked well for the Networking Activities s,"It was a nice break and nice to be able to talk to some of the other participants. We did not use the questions a lot, but nice to have something to start out the conversation."
End of course,worked well for the Networking Activities s,It was amazing to get to go outside for 30min! The tasks were relevant. The social dinners went well and it was possible to meet new people.
End of course,worked well for the Networking Activities s,"It was nice to have time to ""clear"" your head from coding."
End of course,worked well for the Networking Activities s,Meeting new people
End of course,worked well for the Networking Activities s,Mix up of groups was successful. I also like that we had to change the tables every day!
End of course,worked well for the Networking Activities s,Nice to get out and get some fresh air :) Good way to talk with others in a more informal way.
End of course,worked well for the Networking Activities s,Nice to get to know other people on the course.
End of course,worked well for the Networking Activities s,Nice to have some topics to talk about in the start.
End of course,worked well for the Networking Activities s,Nice with a bit of fresh air in the sun :)
End of course,worked well for the Networking Activities s,Nice with fresh air outside
End of course,worked well for the Networking Activities s,"Overall gode, good with talking points to get started. Nice you skip it day 3, as we already talk well about projects and code - ""just for fun""."
End of course,worked well for the Networking Activities s,"Talking with ""strangers"". Nice with your advice on sitting next to a person, you dont know. This makes it easier and less weird to do so. Good to learn from other peoples experience"
End of course,worked well for the Networking Activities s,The Networking activities seems fine but I think it should be made in groups (Walk & Talk) in such a way where the instructors can a part of each group and move the discussion to another level.
End of course,worked well for the Networking Activities s,The new tables/groups every day --> getting to know more people
End of course,worked well for the Networking Activities s,nice to talk about expectations and how others understand coding and how they do it/use it
End of course,worked well for the Networking Activities s,walking in a fresh air and getting to know other people were nice
